step,actor_loss,critic_loss,rewards
240,0.07257744669914246,0.00035215140087530017,-0.40100000000000025
480,0.0719144269824028,6.795852641516831e-06,-0.003
720,0.07409991323947906,6.081567335058935e-06,-0.003
960,0.07317978888750076,4.8875135689741e-06,-0.003
1200,0.07289590686559677,4.579094820655882e-06,-0.003
1440,0.07186605036258698,4.272296337148873e-06,-0.003
1680,0.07304928451776505,4.3587938307609875e-06,-0.003
1920,0.07228807359933853,4.260452442395035e-06,-0.003
2160,0.07203982025384903,4.231839284329908e-06,-0.003
