step,actor_loss,critic_loss,rewards
240,-0.719592273235321,0.8013907074928284,251.68799999999882
480,-0.8365695476531982,0.7519962191581726,251.68799999999882
720,-0.9564751386642456,0.7431935667991638,251.68799999999882
960,-1.1402678489685059,0.7391116619110107,251.68799999999882
1200,-1.3115413188934326,0.7246630191802979,251.68799999999882
1440,-1.5144912004470825,0.7499972581863403,251.68799999999882
1680,-1.680675983428955,0.740053653717041,251.68799999999882
1920,-1.839997410774231,0.7366763353347778,251.68799999999882
2160,-2.016697883605957,0.7347685694694519,251.68799999999882
2400,-2.2443623542785645,0.730191707611084,251.68799999999882
2640,-2.4246373176574707,0.7306272983551025,251.68799999999882
2880,-2.605034112930298,0.7418121695518494,251.68799999999882
3120,-2.814434289932251,0.7597452998161316,251.68799999999882
3360,-2.9658405780792236,0.7758722305297852,251.68799999999882
3600,-3.174455404281616,0.7574430704116821,251.68799999999882
3840,-3.364229202270508,0.7646684646606445,251.68799999999882
4080,-3.5761921405792236,0.7714107632637024,251.68799999999882
4320,-3.8169758319854736,0.7825326919555664,251.68799999999882
4560,-4.068292617797852,0.7547370791435242,251.68799999999882
4800,-4.279384613037109,0.8089984655380249,251.68799999999882
5040,-4.790805339813232,0.7754236459732056,69.3380000000008
5280,-5.324061870574951,0.7785049676895142,69.3380000000008
5520,-5.713785648345947,0.8132299780845642,69.3380000000008
5760,-6.548055171966553,0.8708313703536987,69.3380000000008
6000,-7.305533409118652,0.8862280249595642,69.3380000000008
6240,-8.080775260925293,0.9359370470046997,79.64200000000001
6480,-8.875434875488281,0.9057241678237915,84.78600000000017
6720,-9.596648216247559,0.8936484456062317,79.64200000000001
6960,-10.389945983886719,0.8920015096664429,266.66200000000185
7200,-11.295324325561523,0.9153657555580139,178.68599999999842
7440,-12.107667922973633,0.9737252593040466,208.14999999999878
7680,-13.086935997009277,1.0102213621139526,275.0599999999989
7920,-13.821885108947754,0.9345176815986633,264.5720000000023
8160,-14.899153709411621,1.015470027923584,259.52000000000123
8400,-15.896027565002441,0.9999225735664368,266.97400000000187
8640,-16.954391479492188,1.0194571018218994,210.83399999999875
8880,-17.836040496826172,1.0342811346054077,175.62200000000036
9120,-18.967958450317383,1.035484790802002,226.54600000000067
9360,-20.003694534301758,1.0345672369003296,235.4699999999998
9600,-20.9636173248291,1.0714749097824097,271.93399999999934
9840,-22.048261642456055,1.099776029586792,235.48199999999983
10080,-22.891845703125,1.076825737953186,235.57399999999984
10320,-23.888999938964844,1.1066100597381592,245.65600000000114
10560,-24.951231002807617,1.099069356918335,245.65600000000114
10800,-26.013168334960938,1.13450288772583,282.603999999999
11040,-27.017499923706055,1.2031701803207397,251.38999999999845
11280,-28.140966415405273,1.2119730710983276,129.2820000000003
11520,-29.248218536376953,1.2342418432235718,230.65999999999994
11760,-30.16638946533203,1.2483638525009155,109.3539999999994
12000,-31.241376876831055,1.2585948705673218,126.13199999999992
12240,-32.257049560546875,1.2749265432357788,90.98600000000032
12480,-33.25342559814453,1.2997287511825562,60.77199999999954
12720,-34.27218246459961,1.3279871940612793,106.54800000000075
12960,-35.33416748046875,1.3900543451309204,39.42600000000031
13200,-36.299713134765625,1.3639642000198364,91.53600000000087
13440,-37.31470489501953,1.39641535282135,89.85000000000062
13680,-38.23350524902344,1.457550048828125,83.84400000000016
13920,-39.072269439697266,1.5123666524887085,128.8660000000013
14160,-40.04512023925781,1.4595351219177246,100.4960000000002
