step,actor_loss,critic_loss,rewards
240,-0.32799971103668213,1.1546801328659058,36.138799999999556
480,-0.46348997950553894,1.0767865180969238,64.47519999999903
720,-0.6729952096939087,1.0371772050857544,64.47519999999903
960,-0.8509331345558167,0.9654293060302734,64.47519999999903
1200,-0.9518973231315613,0.9333071708679199,64.47519999999903
1440,-1.0476473569869995,0.8877905607223511,64.47519999999903
1680,-1.13150954246521,0.8674332499504089,64.47519999999903
1920,-1.1828593015670776,0.8234215974807739,64.47519999999903
2160,-1.2690320014953613,0.8143265843391418,64.47519999999903
2400,-1.3552954196929932,0.8190203905105591,64.47519999999903
2640,-1.4117127656936646,0.8264766931533813,64.47519999999903
2880,-1.4827537536621094,0.7955346703529358,64.47519999999903
3120,-1.5679612159729004,0.7898476719856262,64.47519999999903
3360,-1.615722894668579,0.8020044565200806,64.47519999999903
3600,-1.6863057613372803,0.7989174127578735,64.47519999999903
3840,-1.7656008005142212,0.7880361080169678,64.47519999999903
