step,actor_loss,critic_loss,rewards,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,1.876485586,122
,,,,,,1.866661549,121
,,,,,,1.904680967,120
,,,,,,1.90846312,119
,,,,,,1.846577525,118
,,,,,,1.895622134,117
,,,,,,1.881431818,116
,,,,,,1.854439974,115
,,,,,,1.852299094,114
,,,,,,1.950359941,113
,,,,,,1.87033689,112
,,,,,,1.865787148,111
,,,,,,1.794092178,110
,,,,,,1.869213581,109
,,,,,,1.932478309,108
,,,,,,1.816823125,107
,,,,,,1.869231462,106
,,,,,,1.780954123,105
,,,,,,1.839368105,104
,,,,,,1.774795771,103
,,,,,,1.757492304,102
,,,,,,1.753859401,101
,,,,,,1.769951701,100
,,,,,,1.671987057,99
,,,,,,1.678364515,98
,,,,,,1.759991884,97
,,,,,,1.716317058,96
,,,,,,1.640843153,95
,,,,,,1.738786817,94
,,,,,,1.719599605,93
,,,,,,1.654350281,92
,,,,,,1.676342607,91
,,,,,,1.623061538,90
,,,,,,1.587584257,89
,,,,,,1.555162668,88
,,,,,,1.631641626,87
,,,,,,1.597360253,86
,,,,,,1.665460706,85
,,,,,,1.566862702,84
,,,,,,1.574524999,83
,,,,,,1.500344872,82
,,,,,,1.453536987,81
,,,,,,1.451604247,80
,,,,,,1.418001771,79
,,,,,,1.521008372,78
,,,,,,1.497089744,77
,,,,,,1.498937011,76
,,,,,,1.475069404,75
,,,,,,1.486427784,74
,,,,,,1.478466749,73
,,,,,,1.51653564,72
,,,,,,1.48277545,71
,,,,,,1.470080614,70
,,,,,,1.462034345,69
,,,,,,1.515984416,68
,,,,,,1.522451282,67
,,,,,,1.542641997,66
,,,,,,1.534297228,65
,,,,,,1.478339434,64
,,,,,,1.556537509,63
,,,,,,1.569427609,62
,,,,,,1.487333179,61
,,,,,,1.549792409,60
,,,,,,1.518940091,59
,,,,,,1.520861387,58
,,,,,,1.558333874,57
,,,,,,1.53596735,56
,,,,,,1.530489564,55
,,,,,,1.505560756,54
,,,,,,1.535612345,53
,,,,,,1.498963356,52
,,,,,,1.526883721,51
